seed	theory	run_name	status	final_valid_bpb	baseline_bpb	gain_bpb	gain_pct	steps	d_model	layers	lr	tokens_per_s	peak_gb	path
1234	baseline300	gate129_s1234_baseline300_d512_l4_lr1e3	hit	3.361127	3.361127	0.000000	0.000000	300	512	4	0.001000	157331.455616	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s1234_baseline300_d512_l4_lr1e3.jsonl
1234	d512	gate129_s1234_d512_l6_steps300_lr1e3	hit	3.392591	3.361127	-0.031465	-0.936139	300	512	6	0.001000	108822.727575	0.464669	external-artifact:gate129_dense_scaling_3090/gate129_s1234_d512_l6_steps300_lr1e3.jsonl
1234	d768	gate129_s1234_d768_l4_steps300_lr1e3	hit	3.416709	3.361127	-0.055582	-1.653672	300	768	4	0.001000	83687.694047	0.667317	external-artifact:gate129_dense_scaling_3090/gate129_s1234_d768_l4_steps300_lr1e3.jsonl
1234	lr2e3	gate129_s1234_lr2e3_d512_l4	hit	3.465986	3.361127	-0.104860	-3.119782	300	512	4	0.002000	156400.480013	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s1234_lr2e3_d512_l4.jsonl
1234	lr3e4	gate129_s1234_lr3e4_d512_l4	hit	3.254527	3.361127	0.106600	3.171544	300	512	4	0.000300	156584.007887	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s1234_lr3e4_d512_l4.jsonl
1234	steps1000	gate129_s1234_steps1000_d512_l4_lr1e3	hit	3.345432	3.361127	0.015694	0.466931	1000	512	4	0.001000	157435.792674	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s1234_steps1000_d512_l4_lr1e3.jsonl
1234	steps600	gate129_s1234_steps600_d512_l4_lr1e3	hit	3.343582	3.361127	0.017544	0.521972	600	512	4	0.001000	157693.129707	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s1234_steps600_d512_l4_lr1e3.jsonl
4321	baseline300	gate129_s4321_baseline300_d512_l4_lr1e3	hit	3.347916	3.347916	0.000000	0.000000	300	512	4	0.001000	155198.918284	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s4321_baseline300_d512_l4_lr1e3.jsonl
4321	d512	gate129_s4321_d512_l6_steps300_lr1e3	hit	3.379103	3.347916	-0.031187	-0.931548	300	512	6	0.001000	107693.941681	0.464669	external-artifact:gate129_dense_scaling_3090/gate129_s4321_d512_l6_steps300_lr1e3.jsonl
4321	d768	gate129_s4321_d768_l4_steps300_lr1e3	hit	3.419772	3.347916	-0.071856	-2.146299	300	768	4	0.001000	83096.862630	0.667317	external-artifact:gate129_dense_scaling_3090/gate129_s4321_d768_l4_steps300_lr1e3.jsonl
4321	lr2e3	gate129_s4321_lr2e3_d512_l4	hit	3.473142	3.347916	-0.125226	-3.740421	300	512	4	0.002000	154581.589660	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s4321_lr2e3_d512_l4.jsonl
4321	lr3e4	gate129_s4321_lr3e4_d512_l4	hit	3.276148	3.347916	0.071768	2.143662	300	512	4	0.000300	154276.333137	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s4321_lr3e4_d512_l4.jsonl
4321	steps1000	gate129_s4321_steps1000_d512_l4_lr1e3	hit	3.297443	3.347916	0.050473	1.507584	1000	512	4	0.001000	155705.088277	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s4321_steps1000_d512_l4_lr1e3.jsonl
4321	steps600	gate129_s4321_steps600_d512_l4_lr1e3	hit	3.331769	3.347916	0.016147	0.482299	600	512	4	0.001000	155981.200005	0.319070	external-artifact:gate129_dense_scaling_3090/gate129_s4321_steps600_d512_l4_lr1e3.jsonl
